A1,A
ABSOLUTIOUN1,Absolutioun
ABSOLUTISMUS1,Absolutismus
ABSOLVEIEREN1,absolvéieren
ABSOLVENT1,Absolvent
ABSOLVENTIN1,Absolventin
ABSTENTIOUN1,Abstentioun
ABSTRAKT1,abstrakt
ABSTRAKTIOUN1,Abstraktioun
ABSURD1,absurd
ABSURDITEIT1,Absurditéit
ABT1,Abt
ABTEI1,Abtei
ABTEILUNG1,Abteilung
ABTISSIN1,Äbtissin
ABUDDELEN1,abuddelen
ABUS1,Abus
ABUSIV1,abusiv
ABZEBILD1,Abzebild
ABZEBILDCHEN1,Abzebildchen
ACAJOU1,Acajou
ACCELERATIOUN1,Acceleratioun
ACCELEREIEREN1,acceleréieren
ACCENT1,Accent
ACCENTUEIEREN1,accentuéieren
ACCEPTABEL1,acceptabel
ACCEPTANZ1,Acceptanz
ACCEPTEIEREN1,acceptéieren
ACCES1,Accès
ACCESSIBEL1,accessibel
ACCESSOIRE1,Accessoire
ACCIDENT1,Accident
ACCIDENTEIERT1,accidentéiert
ACCISEN1,Accisen
ACCORD1,Accord
ACCORDEIEREN1,accordéieren
ACCOUCHEIEREN1,accouchéieren
ACCOUCHEMENT1,Accouchement
ACCOUNT1,Account
ACCUEIL1,Accueil
ACCUMULATIOUN1,Accumulatioun
ACCUMULEIEREN1,accumuléieren
ACCUSATIOUN1,Accusatioun
ACCUSEIEREN1,accuséieren
ACHILLESSEEN1,Achillesseen
ACHILLESSEHN1,Achillessehn
ACHS1,Achs
ACHTERBAHN1,Achterbahn
ACHTERBUNN1,Achterbunn
ACHZEG1,achzeg
ACHZEGER1,Achzeger
ACHZEGERJOREN1,Achzegerjoren
ACHZEGMOL1,achzegmol
ACHZEGST1,achzegst
ACOMPTE1,Acompte
ACQUIS1,Acquis
ACQUISITIOUN1,Acquisitioun
ACQUITTEIEREN1,acquittéieren
ACREMEN1,acrèmen
ACTEUR1,Acteur
ACTINIUM1,Actinium
ACTINOID1,Actinoid
ACTIONFILM1,Actionfilm
ACTIONNAIRE1,Actionnaire
ACTIONNAIRESVERSAMMLUNG1,Actionnairesversammlung
ACTIONNAIRIN1,Actionnairin
ACTRICE1,Actrice
ADAPTATIOUN1,Adaptatioun
ADAPTEIEREN1,adaptéieren
ADAPTER1,Adapter
ADDEIEREN1,addéieren
ADDI1,Äddi
ADDITIOUN1,Additioun
ADEL1,Adel
ADELEG1,adeleg
ADEQUAT1,adequat
ADHS1,ADHS
ADIPOS1,adipös
ADJEKTIV1,Adjektiv
ADJOINT1,Adjoint
ADJOINTE1,Adjointe
ADJUTANT1,Adjutant
ADJUTANTIN1,Adjutantin
ADLER1,Adler
ADMINISTRATEUR1,Administrateur
ADMINISTRATEURIN1,Administrateurin
ADMINISTRATIOUN1,Administratioun
ADMINISTRATIV1,administrativ
ADMINISTRATRICE1,Administratrice
ADMINISTREIEREN1,administréieren
ADMIROL1,Admirol
ADMIROLIN1,Admirolin
ADMISSIOUN1,Admissioun
ADOPTEIEREN1,adoptéieren
ADOPTIOUN1,Adoptioun
ADOPTIVELTEREN1,Adoptivelteren
ADOPTIVKAND1,Adoptivkand
ADRENALIN1,Adrenalin
ADRESS1,Adress
ADRESSE1,Adresse
ADRESSEBICHELCHEN1,Adressebichelchen
ADRESSEBICHELCHEN2,Adressëbichelchen
ADRESSEIEREN1,adresséieren
ADS1,ADS
ADVENT1,Advent
ADVENTSDEKORATIOUN1,Adventsdekoratioun
ADVENTSKALENNER1,Adventskalenner
ADVENTSKRANZ1,Adventskranz
ADVENTSLIDD1,Adventslidd
ADVENTSMAART1,Adventsmaart
ADVENTSSONNDEG1,Adventssonndeg
ADVERB1,Adverb
AEFAARF1,Aefaarf
AEMOOSS1,Aemooss
AEMUSKEL1,Aemuskel
AENDECKEL1,Aendeckel
AENDOKTER1,Aendokter
AENDOKTESCH1,Aendoktesch
AENDREPSEN1,Aendrëpsen
AENZEIEN1,Aenzeien
AENZEIEN2,Aenzeien
AERBEL1,Äerbel
AERD1,Äerd
AERDALKALIMETALL1,Äerdalkalimetall
AERDATMOSPHAR1,Äerdatmosphär
AERDBIER2,Äerdbier
AERDBIERSGEBEESS1,Äerdbiersgebeess
AERDBIERSGESCHMAACH1,Äerdbiersgeschmaach
AERDBIERSGLACE1,Äerdbiersglace
AERDBIERSGOUT1,Äerdbiersgoût
AERDBIERSJUGHURT1,Äerdbiersjughurt
AERDBIERSKAMELL1,Äerdbierskamell
AERDBIERSLIKOR1,Äerdbierslikör
AERDBIERSLUTSCH1,Äerdbierslutsch
AERDBIERSTAART1,Äerdbierstaart
AERDBIEWEGEBITT1,Äerdbiewegebitt
AERDBIEWEN1,Äerdbiewen
AERDBUEDEM1,Äerdbuedem
AERDEG1,äerdeg
AERDEN2,äerden
AERDGAS1,Äerdgas
AERDKUGEL1,Äerdkugel
AERDRUTSCH1,Äerdrutsch
AERMCHEN1,Äermchen
AEROBIC1,Aerobic
AERT1,äert
AERT2,Äert
AERZ1,Äerz
AERZBESCHOF1,Äerzbëschof
AERZENGEL1,Äerzengel
AESSEN1,Aessen
AF1,Af
AFAART1,Afaart
AFAHRT1,Afahrt
AFALEN1,afalen
AFANKEN1,afänken
AFEG1,afeg
AFEIEREN1,aféieren
AFEIERUNG1,Aféierung
AFELLEN1,afëllen
AFEN1,afen
AFENHETZT1,Afenhëtzt
AFENNOSS1,Afennoss
AFETTEN1,afetten
AFFAIRE1,Affaire
AFFAR1,Affär
AFFCHEN1,Äffchen
AFFECTATIOUN1,Affectatioun
AFFECTEIEREN1,affectéieren
AFFEKOT1,Affekot
AFFEKOTIN1,Affekotin
AFFEKT1,Affekt
AFFEKTATIOUN1,Affektatioun
AFFEKTEIEREN1,affektéieren
AFFER1,Affer
AFFER2,Affer
AFFEREN1,afferen
AFFERSTACK1,Afferstack
AFFICHAGE1,Affichage
AFFICHE1,Affiche
AFFICHEIEREN1,affichéieren
AFFILIATIOUN1,Affiliatioun
AFFILIEIEREN1,affiliéieren
AFFINITEIT1,Affinitéit
AFFIRMATIOUN1,Affirmatioun
AFFIRMEIEREN1,affirméieren
AFFRONT1,Affront
AFFRONTEIERT1,affrontéiert
AFGHAN1,Afghan
AFGHANESCH1,afghanesch
AFGHANIN1,Afghanin
AFGHANISTAN1,Afghanistan
AFLOSS1,Afloss
AFREIEREN1,afréieren
AFRIESSEN1,afriessen
AFRIKA1,Afrika
AFRIKANER1,Afrikaner
AFRIKANERIN1,Afrikanerin
AFRIKANESCH1,afrikanesch
AFRIKANESCHEPELIKAN1,Afrikanesche_Pelikan
AFTER1,After
AFTERSHAVE1,Aftershave
AFUGEN1,afügen
AGANG1,Agang
AGANK1,Agank
AGEBILT1,agebilt
AGEHEIEN1,ageheien
AGEHOLL1,ageholl
AGEIEREN1,agéieren
AGEMAACHTES1,Agemaachtes
AGENCE1,Agence
AGENDA1,Agenda
AGENT1,Agent
AGENTIN1,Agentin
AGESCHNEIT1,ageschneit
AGESCHRIWWEN1,ageschriwwen
AGESINN1,agesinn
AGESTANDNES1,Ageständnes
AGESTANDNIS1,Ageständnis
AGESTOEN1,agestoen
AGGLOMERATIOUN1,Agglomeratioun
AGGRESSEIEREN1,aggresséieren
AGGRESSIOUN1,Aggressioun
AGGRESSIV1,aggressiv
AGGRESSIVITEIT1,Aggressivitéit
AGINN1,aginn
AGLIDDEREN1,aglidderen
AGNOSTIKER1,Agnostiker
AGNOSTIKERIN1,Agnostikerin
AGOEN1,agoen
AGONIE1,Agonie
AGRAFE1,Agrafe
AGRAFF1,Agraff
AGRAIFEN1,agräifen
AGRARPOLITIK1,Agrarpolitik
AGREABEL1,agreabel
AGREFF1,Agrëff
AGREMENT1,Agrement
AGRENZEN1,agrenzen
AGRUEWEN1,agruewen
AGYPTEN1,Ägypten
AGYPTER1,Ägypter
AGYPTERIN1,Ägypterin
AGYPTESCH1,ägyptesch
AHNEN1,ahnen
AHNLECH1,ähnlech
AHNUNG1,Ahnung
AHORN1,Ahorn
AIDESOIGNANT1,Aide-soignant
AIDESOIGNANTE1,Aide-soignante
AIDS1,Aids
AIDSBEHANDLUNG1,Aidsbehandlung
AIDSBERODUNG1,Aidsberodung
AIDSCAMPAGNE1,Aidscampagne
AIDSKRANK2,aidskrank
AIDSMEDIKAMENT1,Aidsmedikament
AIDSTEST1,Aidstest
AIDSTHERAPIE1,Aidstherapie
AIERCHEN1,Aierchen
AIFER1,Äifer
AIFREG1,äifreg
AIRBAG1,Airbag
AIS1,Äis
AIS2,äis
AIS3,äis
AISBIER1,Äisbier
AISBIERG1,Äisbierg
AISCH1,Äisch
AISCHEN1,Äischen
AISCHER1,Äischer
AISDAUCHER1,Äisdaucher
AISEG1,äiseg
AISER1,äiser
AISGANG1,Äisgang
AISGANK1,Äisgank
AISHELLEGEN1,Äishellegen
AISHOCKEY1,Äishockey
AISINT1,Äisint
AISKAL1,äiskal
AISKONSCHTLAF1,Äiskonschtlaf
AISKONSCHTLEEFER1,Äiskonschtleefer
AISKONSCHTLEEFERIN1,Äiskonschtleeferin
AISPIST1,Äispist
AISPISTE1,Äispiste
AISSCHAF1,Äisschaf
AISSCHICHT1,Äisschicht
AISVULL1,Äisvull
AISWIERFEL1,Äiswierfel
AISWURFEL1,Äiswürfel
AISZAIT1,Äiszäit
AJOUTE1,Ajoute
AJUSTEIEREN1,ajustéieren
AKACHEN1,akachen
AKADEMESCH1,akademesch
AKADEMIE1,Akademie
AKADEMIKER1,Akademiker
AKADEMIKERIN1,Akademikerin
AKAF1,Akaf
AKAFEN1,akafen
AKAFSBONG1,Akafsbong
AKAFSKIERFCHEN1,Akafskierfchen
AKAFSKUERF1,Akafskuerf
AKAFSLESCHT1,Akafslëscht
AKAFSPRAIS1,Akafspräis
AKAFSWEENCHEN1,Akafsweenchen
AKAFSZENTER1,Akafszenter
AKAFSZIEDEL1,Akafsziedel
AKALKULEIEREN1,akalkuléieren
AKASSEIEREN1,akasséieren
AKAUL1,Akaul
AKELLEREN1,akelleren
AKERBAU1,Akerbau
AKEREN1,akeren
AKERLAND1,Akerland
AKESCHT1,Akescht
AKKONT1,Akkont
AKKORD1,Akkord
AKKORDEON1,Akkordeon
AKKORDEONIST1,Akkordeonist
AKKORDEONISTIN1,Akkordeonistin
AKKREDITATIOUN1,Akkreditatioun
AKKREDITEIEREN1,akkreditéieren
AKKU1,Akku
AKKUSATIV1,Akkusativ
AKLANG1,Aklang
AKLANK1,Aklank
AKLAPPEN1,aklappen
AKLASSEIEREN1,aklasséieren
AKLEEDEN1,akleeden
AKLEMMEN1,aklemmen
AKNE1,Akne
AKNUPPEN1,aknuppen
AKOMMES1,Akommes
AKRAMPEN1,akrämpen
AKREESEN1,akreesen
AKRIBESCH1,akribesch
AKRIBIE1,Akribie
AKROBAT1,Akrobat
AKROBATESCH1,akrobatesch
AKROBATIK1,Akrobatik
AKROBATIN1,Akrobatin
AKT1,Akt
AKTIE1,Aktie
AKTIECOURS1,Aktiecours
AKTIEGESELLSCHAFT1,Aktiegesellschaft
AKTINIUM1,Aktinium
AKTIONAR1,Aktionär
AKTIONARIN1,Aktionärin
AKTIONARSVERSAMMLUNG1,Aktionärsversammlung
AKTIOUN1,Aktioun
AKTIOUNSPLANG1,Aktiounsplang
AKTIOUNSPROGRAMM1,Aktiounsprogramm
AKTIV1,aktiv
AKTIV2,Aktiv
AKTIVEIEREN1,aktivéieren
AKTIVISMUS1,Aktivismus
AKTIVIST1,Aktivist
AKTIVISTIN1,Aktivistin
AKTIVITEIT1,Aktivitéit
AKTUALISEIEREN1,aktualiséieren
AKTUALISEIERUNG1,Aktualiséierung
AKTUALITEIT1,Aktualitéit
AKTUELL1,aktuell
AKUPUNKTUR1,Akupunktur
AKUSTESCH1,akustesch
AKUSTIK1,Akustik
AKUT1,akut
AKZENT1,Akzent
AKZEPTABEL1,akzeptabel
AKZEPTANZ1,Akzeptanz
AKZEPTEIEREN1,akzeptéieren
AL1,al
AL2,al
ALAERT1,aläert
ALAFEN1,alafen
ALARM1,Alarm
ALARMANLAG1,Alarmanlag
ALARMANT1,alarmant
ALARMBEREETSCHAFT1,Alarmbereetschaft
ALARMEIEREN1,alarméieren
ALAUDEN1,alauden
ALBAACH1,Albaach
ALBANER1,Albaner
ALBANERIN1,Albanerin
ALBANESCH1,albanesch
ALBANIEN1,Albanien
ALBUM1,Album
ALEEDEN1,aleeden
ALEEDUNG1,Aleedung
ALEEEN1,aleeën
ALEFT1,Aleft
ALEISEN1,aléisen
ALENG1,aleng
ALENG2,aleng
ALENKEN1,alenken
ALERT1,Alert
ALERTE1,Alerte
ALERTEIEREN1,alertéieren
ALESCH1,Al-Esch
ALG1,Alg
ALGERESCH1,algeresch
ALGERIEN1,Algerien
ALGERIER1,Algerier
ALGERIERIN1,Algerierin
ALIAS1,Alias
ALIBI1,Alibi
ALIEWEN1,aliewen
ALIICHTEN1,aliichten
ALIMENTATIOUN1,Alimentatioun
ALIMENTEN1,Alimenten
ALIMENTER1,Alimenter
ALIWWEREN1,aliwweren
ALKALIMETALL1,Alkalimetall
ALKOHOL1,Alkohol
ALKOHOLIKER1,Alkoholiker
ALKOHOLIKERIN1,Alkoholikerin
ALKOHOLISEIERT1,alkoholiséiert
ALKOHOLISMUS1,Alkoholismus
ALKOHOLKONTROLL1,Alkoholkontroll
ALKOHOLSUCHT1,Alkoholsucht
ALKOHOLTEST1,Alkoholtest
ALL1,All
ALL2,all
ALLDAG1,Alldag
ALLDEEGLECH1,alldeeglech
ALLEE1,Allee
ALLEGUER1,alleguer
ALLEGUERTEN1,alleguerten
ALLEM1,allem
ALLEN1,allen
ALLENSTER1,Allënster
ALLER1,aller
ALLERBESCHT1,allerbescht
ALLERBUER1,Allerbuer
ALLERBURREN1,Allerburren
ALLERDENGS1,allerdéngs
ALLEREISCHT1,alleréischt
ALLERGEEN1,Allergeen
ALLERGEN1,Allergen
ALLERGESCH1,allergesch
ALLERGIE1,Allergie
ALLERGIKER1,Allergiker
ALLERGIKERIN1,Allergikerin
ALLERGOLOG1,Allergolog
ALLERGOLOGIE1,Allergologie
ALLERGOLOGIN1,Allergologin
ALLERHAND1,allerhand
ALLERHELLEGEN1,Allerhellegen
ALLERHELLEGEVAKANZ1,Allerhellegevakanz
ALLERLEE1,allerlee
ALLERLESCHT1,allerlescht
ALLERNEIST1,allerneist
ALLERRETOUR1,Aller-retour
ALLERSEILEN1,Allerséilen
ALLES1,alles
ALLEZ1,allez
ALLGEMENG1,allgemeng
ALLGEMENGBILDUNG1,Allgemengbildung
ALLGEMENGHEET1,Allgemengheet
ALLHEELMETTEL1,Allheelmëttel
ALLIANZ1,Allianz
ALLIEIERT1,alliéiert
ALLJAERLECH1,alljäerlech
ALLJOERS1,alljoers
ALLKEIERS1,allkéiers
ALLMACHTEG1,allmächteg
ALLMEIGLECH1,allméiglech
ALLOCATIOUN1,Allocatioun
ALLOKATIOUN1,Allokatioun
ALLUR1,Allür
ALLURE1,Allure
ALLUSIOUN1,Allusioun
ALLZAIT1,allzäit
ALLZE1,allze
ALMILLEN1,Almillen
ALMOSEN1,Almosen
ALMOUDESCH1,almoudesch
ALOGGEN1,aloggen
ALOOSSEN1,aloossen
ALPENHECKESCHLEFFER1,Alpenheckeschlëffer
ALPENHECKESTEISSER1,Alpenheckestéisser
ALPESANDLEEFER1,Alpesandleefer
ALPHABET1,Alphabet
ALPHABETESCH1,alphabetesch
ALPHABETISATIOUN1,Alphabetisatioun
ALPHABETISEIEREN1,alphabetiséieren
ALPHABETISEIERUNG1,Alphabetiséierung
ALPINIST1,Alpinist
ALPINISTIN1,Alpinistin
ALRODESCHHAFF1,Alrodeschhaff
ALS1,als
ALSCHENT1,Alschent
ALSO1,also
ALSTAD1,Alstad
ALT1,alt
ALT2,alt
ALT3,Alt
ALTBAUSANEIERUNG1,Altbausanéierung
ALTER1,Alter
ALTER2,Älter
ALTERNATIV1,alternativ
ALTERNATIV2,Alternativ
ALTERNATIVE1,Alternative
ALTERSFLECK1,Altersfleck
ALTERSGRENZ1,Altersgrenz
ALTERSHEEM1,Altersheem
ALTERSHEIM1,Altersheim
ALTERTUM1,Altertum
ALTESS1,Altess
ALTESSE1,Altesse
ALTOR1,Altor
ALTSTEMM1,Altstëmm
ALTWIS1,Altwis
ALUEDEN1,alueden
ALUEDUNG1,Aluedung
ALUMINIUM2,Aluminium
ALZENG1,Alzeng
ALZHEIMER1,Alzheimer
AM1,am
AMAACHEN1,amaachen
AMAACHGLAS1,Amaachglas
AMAACHGLIESCHEN1,Amaachglieschen
AMALGAM1,Amalgam
AMANT1,Amant
AMARSCH1,Amarsch
AMARSCHEIEREN1,amarschéieren
AMATEUR1,Amateur
AMATEURIN1,Amateurin
AMATEURISMUS1,Amateurismus
AMATRICE1,Amatrice
AMAUEREN1,amaueren
AMBASSADE1,Ambassade
AMBASSADEUR1,Ambassadeur
AMBASSADRICE1,Ambassadrice
AMBER1,Amber
AMBIANCE1,Ambiance
AMBIGU1,ambigu
AMBIGUITEIT1,Ambiguitéit
AMBITIEIS1,ambitiéis
AMBITIOUN1,Ambitioun
AMBLYOPIE1,Amblyopie
AMBOSS1,Amboss
AMBULANT1,ambulant
AMBULANZ1,Ambulanz
AMEIS1,Ameis
AMELIORATIOUN1,Amelioratioun
AMEN1,Amen
AMENAGEIEREN1,amenagéieren
AMENAGEMENT1,Amenagement
AMENDEIEREN1,amendéieren
AMENDEMENT1,Amendement
AMENT1,Ament
AMERICIUM1,Americium
AMERIKA1,Amerika
AMERIKANER1,Amerikaner
AMERIKANERIN1,Amerikanerin
AMERIKANESCH1,amerikanesch
AMERIKANESCHENNAERZ1,Amerikaneschen_Näerz
AMESCHEN1,amëschen
AMESEIEREN1,ameséieren
AMGAANG1,am_Gaang
AMGAANGEN1,am_Gaangen
AMICALE1,Amicale
AMINOSAIER1,Aminosaier
AMMONIAK1,Ammoniak
AMNESIE1,Amnesie
AMNESTIE1,Amnestie
AMOK1,Amok
AMOKLAF1,Amoklaf
AMOKLEEFER1,Amokleefer
AMOKLEEFERIN1,Amokleeferin
AMORTISEIEREN1,amortiséieren
AMPERE1,Ampère
AMPEREMETER1,Ampèremeter
AMPLAZ1,amplaz
AMPLAZ2,amplaz
AMPULL1,Ampull
AMPUTATIOUN1,Amputatioun
AMPUTEIEREN1,amputéieren
AMSTAND1,amstand
AMT1,Amt
AMTLECH1,amtlech
AMTSSPROOCH1,Amtssprooch
AMTSZAIT1,Amtszäit
AMUSANT1,amusant
AMUSANT2,amüsant
AMUSEIEREN1,amuséieren
AMUSEMENT1,Amusement
AN1,An
AN2,an
AN3,an
AN4,an
ANACHRONISMUS1,Anachronismus
ANACHRONISTESCH1,anachronistesch
ANAL1,anal
ANALFISTEL1,Analfistel
ANALGESIQUE1,Analgesique
ANALGETIKUM1,Analgetikum
ANALOG1,analog
ANALOGIE1,Analogie
ANALPHABET1,Analphabet
ANALPHABETIN1,Analphabetin
ANALPHABETISMUS1,Analphabetismus
ANALRASS1,Analrass
ANALRESS1,Analrëss
ANALYS1,Analys
ANALYSE1,Analyse
ANALYSEIEREN1,analyséieren
ANALYTIKER1,Analytiker
ANALYTIKERIN1,Analytikerin
ANAMNEES1,Anamnees
ANANAS1,Ananas
ANARCHIE1,Anarchie
ANARCHIST1,Anarchist
ANARCHISTESCH1,anarchistesch
ANARCHISTIN1,Anarchistin
ANASCHEREN1,anäscheren
ANASCHERUNG1,Anäscherung
ANASTHESIE1,Anästhesie
ANASTHESIEMETTEL1,Anästhesiemëttel
ANASTHESIST1,Anästhesist
ANASTHESISTIN1,Anästhesistin
ANATOMIE1,Anatomie
ANCHECKEN1,anchecken
ANCHOIS1,Anchois
ANCIENNETEIT1,Anciennetéit
ANDACHT1,Andacht
ANDACHTEG1,andächteg
ANDAMMEN1,andämmen
ANDAUERND1,andauernd
ANDECKEN1,andecken
ANDEELEN1,andeelen
ANDEELUNG1,Andeelung
ANDEEM1,andeem
ANDEEMS1,andeems
ANDERBUERG1,an_der_Buerg
ANDORRA1,Andorra
ANDORRANER1,Andorraner
ANDORRANERIN1,Andorranerin
ANDORRANESCH1,andorranesch
ANDRECKEN1,andrécken
ANDREIEN1,andréien
ANDREINEN1,andréinen
ANDREIWEN1,andreiwen
ANDRENGEN1,andréngen
ANDROCK1,Androck
ANDROEN1,androen
ANEKDOT1,Anekdot
ANEMIE1,Anemie
ANENANER1,anenaner
ANENANERRENNEN1,anenanerrennen
ANENEEN1,aneneen
ANENEERENNEN1,aneneerennen
ANENGEMS1,an_engems
ANENGEN1,anengen
ANER1,aner
ANEREM1,anerem
ANEREN1,aneren
ANERER1,anerer
ANERERSAITS1,anerersäits
ANERES1,aneres
ANERSAITS1,anersäits
ANERT1,anert
ANERWAERTS1,anerwäerts
ANESCHT1,anescht
ANGAB1,Angab
ANGEBLECH1,angeblech
ANGEBOT1,Angebot
ANGELDUERF1,Angelduerf
ANGELSBIERG1,Angelsbierg
ANGENEHM1,angenehm
ANGINE1,Angine
ANGINEDEPOITRINE1,Angine_de_poitrine
ANGIOLOG1,Angiolog
ANGIOLOGIE1,Angiologie
ANGIOLOGIN1,Angiologin
ANGLIKANER1,Anglikaner
ANGLIKANERIN1,Anglikanerin
ANGLIKANESCH1,anglikanesch
ANGOLA1,Angola
ANGOLANER1,Angolaner
ANGOLANERIN1,Angolanerin
ANGOLANESCH1,angolanesch
ANGSBER1,Angsber
ANGSBREG1,Angsbreg
ANGSCHT1,Angscht
ANGSCHTERLECH1,ängschterlech
ANGSCHTLECH1,ängschtlech
ANGSCHTSCHWEESS1,Angschtschweess
